state,month,incidents,year,region,Amazonia,Cerrado,Caatinga,Pantanal,Mata Atlantica,Pampa,latitude_mean,longitude_mean,la nina,el nino
amapa,1,14,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
amapa,2,1,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
amapa,4,1,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
amapa,5,1,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
amapa,6,3,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
amapa,7,4,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
amapa,8,38,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
amapa,9,123,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
amapa,10,571,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
amapa,11,450,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
amapa,3,0,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
amapa,12,0,2018,norte,1.0,0.0,0.0,0.0,0.0,0.0,1.5092711442786066,-51.218823383084505,0,1
tocantins,1,97,2018,centro-oeste,1.0,1.0,0.0,0.0,0.0,0.0,-10.357303996016435,-48.329752271878505,0,1
tocantins,2,16,2018,centro-oeste,1.0,1.0,0.0,0.0,0.0,0.0,-10.357303996016435,-48.329752271878505,0,1
tocantins,4,127,2018,centro-oeste,1.0,1.0,0.0,0.0,0.0,0.0,-10.357303996016435,-48.329752271878505,0,1
tocantins,5,599,2018,centro-oeste,1.0,1.0,0.0,0.0,0.0,0.0,-10.357303996016435,-48.329752271878505,0,1
tocantins,6,914,2018,centro-oeste,1.0,1.0,0.0,0.0,0.0,0.0,-10.357303996016435,-48.329752271878505,0,1
tocantins,7,1321,2018,centro-oeste,1.0,1.0,0.0,0.0,0.0,0.0,-10.357303996016435,-48.329752271878505,0,1
