state,month,incidents,year,region
acre,1,0.0,1998,norte
acre,1,0.0,1999,norte
acre,1,0.0,2000,norte
acre,1,0.0,2001,norte
acre,1,0.0,2002,norte
acre,1,10.0,2003,norte
acre,1,0.0,2004,norte
acre,1,12.0,2005,norte
acre,1,4.0,2006,norte
acre,1,0.0,2007,norte
acre,1,0.0,2008,norte
acre,1,0.0,2009,norte
acre,1,1.0,2010,norte
acre,1,0.0,2011,norte
acre,1,0.0,2012,norte
acre,1,0.0,2013,norte
acre,1,0.0,2014,norte
acre,1,1.0,2015,norte
acre,1,12.0,2016,norte
acre,1,0.0,2017,norte
acre,2,0.0,1998,norte
acre,2,0.0,1999,norte
acre,2,0.0,2000,norte
acre,2,0.0,2001,norte
acre,2,1.0,2002,norte
acre,2,0.0,2003,norte
acre,2,3.0,2004,norte
acre,2,0.0,2005,norte
acre,2,0.0,2006,norte
acre,2,5.0,2007,norte
acre,2,0.0,2008,norte
acre,2,2.0,2009,norte
acre,2,0.0,2010,norte
acre,2,0.0,2011,norte
acre,2,0.0,2012,norte
acre,2,0.0,2013,norte
acre,2,0.0,2014,norte
acre,2,2.0,2015,norte
acre,2,5.0,2016,norte
acre,2,1.0,2017,norte
acre,3,0.0,1998,norte
acre,3,0.0,1999,norte
acre,3,11.0,2000,norte
acre,3,0.0,2001,norte
acre,3,0.0,2002,norte
acre,3,0.0,2003,norte
acre,3,0.0,2004,norte
acre,3,3.0,2005,norte
acre,3,0.0,2006,norte
acre,3,2.0,2007,norte
acre,3,0.0,2008,norte
acre,3,1.0,2009,norte
acre,3,0.0,2010,norte
acre,3,0.0,2011,norte
acre,3,1.0,2012,norte
acre,3,2.0,2013,norte
acre,3,1.0,2014,norte
acre,3,2.0,2015,norte
acre,3,0.0,2016,norte
acre,3,0.0,2017,norte
acre,4,0.0,1998,norte
acre,4,0.0,1999,norte
acre,4,1.0,2000,norte
acre,4,0.0,2001,norte
acre,4,0.0,2002,norte
acre,4,1.0,2003,norte
acre,4,2.0,2004,norte
acre,4,1.0,2005,norte
acre,4,0.0,2006,norte
acre,4,0.0,2007,norte
acre,4,0.0,2008,norte
acre,4,0.0,2009,norte
acre,4,3.0,2010,norte
acre,4,2.0,2011,norte
acre,4,1.0,2012,norte
acre,4,19.0,2013,norte
acre,4,7.0,2014,norte
acre,4,3.0,2015,norte
acre,4,0.0,2016,norte
acre,4,1.0,2017,norte
acre,5,0.0,1998,norte
acre,5,0.0,1999,norte
acre,5,1.0,2000,norte
acre,5,0.0,2001,norte
acre,5,0.0,2002,norte
acre,5,6.0,2003,norte
acre,5,7.0,2004,norte
acre,5,2.0,2005,norte
acre,5,8.0,2006,norte
acre,5,1.0,2007,norte
acre,5,0.0,2008,norte
acre,5,3.0,2009,norte
acre,5,9.0,2010,norte
acre,5,3.0,2011,norte
acre,5,3.0,2012,norte
acre,5,4.0,2013,norte
acre,5,1.0,2014,norte
acre,5,2.0,2015,norte
acre,5,21.0,2016,norte
acre,5,10.0,2017,norte
acre,6,3.0,1998,norte
acre,6,0.0,1999,norte
acre,6,1.0,2000,norte
acre,6,1.0,2001,norte
acre,6,0.0,2002,norte
acre,6,0.0,2003,norte
acre,6,5.0,2004,norte
acre,6,27.0,2005,norte
acre,6,1.0,2006,norte
acre,6,4.0,2007,norte
acre,6,0.0,2008,norte
acre,6,0.0,2009,norte
acre,6,1.0,2010,norte
acre,6,10.0,2011,norte
acre,6,7.0,2012,norte
acre,6,8.0,2013,norte
acre,6,17.0,2014,norte
acre,6,40.0,2015,norte
acre,6,87.0,2016,norte
acre,6,45.0,2017,norte
acre,7,37.0,1998,norte
acre,7,1.0,1999,norte
acre,7,1.0,2000,norte
acre,7,3.0,2001,norte
acre,7,39.0,2002,norte
acre,7,168.0,2003,norte
acre,7,42.0,2004,norte
acre,7,368.0,2005,norte
acre,7,33.0,2006,norte
acre,7,29.0,2007,norte
acre,7,41.0,2008,norte
acre,7,31.0,2009,norte
acre,7,126.0,2010,norte
acre,7,93.0,2011,norte
acre,7,71.0,2012,norte
acre,7,54.0,2013,norte
acre,7,60.0,2014,norte
acre,7,109.0,2015,norte
acre,7,533.0,2016,norte
acre,7,457.0,2017,norte
acre,8,130.0,1998,norte
acre,8,63.0,1999,norte
acre,8,136.0,2000,norte
acre,8,396.0,2001,norte
acre,8,728.0,2002,norte
acre,8,1976.0,2003,norte
acre,8,645.0,2004,norte
acre,8,4198.0,2005,norte
acre,8,839.0,2006,norte
acre,8,960.0,2007,norte
acre,8,445.0,2008,norte
acre,8,194.0,2009,norte
acre,8,1682.0,2010,norte
acre,8,425.0,2011,norte
acre,8,739.0,2012,norte
acre,8,679.0,2013,norte
acre,8,1100.0,2014,norte
acre,8,1396.0,2015,norte
acre,8,2188.0,2016,norte
acre,8,1493.0,2017,norte
acre,9,509.0,1998,norte
acre,9,209.0,1999,norte
acre,9,265.0,2000,norte
acre,9,290.0,2001,norte
acre,9,1949.0,2002,norte
acre,9,3941.0,2003,norte
acre,9,1978.0,2004,norte
acre,9,4253.0,2005,norte
acre,9,2370.0,2006,norte
acre,9,2080.0,2007,norte
acre,9,1666.0,2008,norte
acre,9,1265.0,2009,norte
acre,9,2531.0,2010,norte
acre,9,1204.0,2011,norte
acre,9,1996.0,2012,norte
acre,9,2136.0,2013,norte
acre,9,2175.0,2014,norte
acre,9,2928.0,2015,norte
acre,9,3586.0,2016,norte
acre,9,3429.0,2017,norte
acre,10,44.0,1998,norte
acre,10,60.0,1999,norte
acre,10,18.0,2000,norte
acre,10,137.0,2001,norte
acre,10,687.0,2002,norte
acre,10,740.0,2003,norte
acre,10,461.0,2004,norte
acre,10,547.0,2005,norte
acre,10,316.0,2006,norte
acre,10,203.0,2007,norte
acre,10,652.0,2008,norte
acre,10,565.0,2009,norte
acre,10,292.0,2010,norte
acre,10,97.0,2011,norte
acre,10,348.0,2012,norte
acre,10,258.0,2013,norte
acre,10,406.0,2014,norte
acre,10,905.0,2015,norte
acre,10,509.0,2016,norte
acre,10,1508.0,2017,norte
acre,11,0.0,1998,norte
acre,11,0.0,1999,norte
acre,11,0.0,2000,norte
acre,11,1.0,2001,norte
acre,11,86.0,2002,norte
acre,11,15.0,2003,norte
acre,11,10.0,2004,norte
acre,11,14.0,2005,norte
acre,11,18.0,2006,norte
acre,11,7.0,2007,norte
acre,11,4.0,2008,norte
acre,11,33.0,2009,norte
acre,11,39.0,2010,norte
acre,11,74.0,2011,norte
acre,11,13.0,2012,norte
acre,11,79.0,2013,norte
acre,11,56.0,2014,norte
acre,11,115.0,2015,norte
acre,11,46.0,2016,norte
acre,11,98.0,2017,norte
acre,12,7.0,1998,norte
acre,12,0.0,1999,norte
acre,12,0.0,2000,norte
acre,12,0.0,2001,norte
acre,12,1.0,2002,norte
acre,12,1.0,2003,norte
acre,12,7.0,2004,norte
acre,12,2.0,2005,norte
acre,12,0.0,2006,norte
acre,12,0.0,2007,norte
acre,12,0.0,2008,norte
acre,12,1.0,2009,norte
acre,12,0.0,2010,norte
acre,12,4.0,2011,norte
acre,12,1.0,2012,norte
acre,12,3.0,2013,norte
acre,12,6.0,2014,norte
acre,12,8.0,2015,norte
acre,12,6.0,2016,norte
acre,12,0.0,2017,norte
alagoas,1,0.0,1998,nordeste
alagoas,1,58.0,1999,nordeste
alagoas,1,11.0,2000,nordeste
alagoas,1,5.0,2001,nordeste
alagoas,1,12.0,2002,nordeste
alagoas,1,150.0,2003,nordeste
alagoas,1,9.0,2004,nordeste
alagoas,1,83.0,2005,nordeste
alagoas,1,29.0,2006,nordeste
alagoas,1,33.0,2007,nordeste
alagoas,1,55.0,2008,nordeste
alagoas,1,104.0,2009,nordeste
alagoas,1,23.0,2010,nordeste
alagoas,1,41.0,2011,nordeste
alagoas,1,36.0,2012,nordeste
alagoas,1,49.0,2013,nordeste
alagoas,1,54.0,2014,nordeste
alagoas,1,81.0,2015,nordeste
alagoas,1,24.0,2016,nordeste
alagoas,1,76.0,2017,nordeste
alagoas,2,0.0,1998,nordeste
alagoas,2,20.0,1999,nordeste
alagoas,2,16.0,2000,nordeste
alagoas,2,4.0,2001,nordeste
alagoas,2,15.0,2002,nordeste
alagoas,2,33.0,2003,nordeste
alagoas,2,7.0,2004,nordeste
alagoas,2,31.0,2005,nordeste
alagoas,2,14.0,2006,nordeste
alagoas,2,28.0,2007,nordeste
alagoas,2,74.0,2008,nordeste
alagoas,2,32.0,2009,nordeste
alagoas,2,26.0,2010,nordeste
alagoas,2,33.0,2011,nordeste
alagoas,2,41.0,2012,nordeste
alagoas,2,19.0,2013,nordeste
alagoas,2,29.0,2014,nordeste
alagoas,2,46.0,2015,nordeste
alagoas,2,14.0,2016,nordeste
alagoas,2,21.0,2017,nordeste
alagoas,3,0.0,1998,nordeste
alagoas,3,52.0,1999,nordeste
alagoas,3,32.0,2000,nordeste
alagoas,3,0.0,2001,nordeste
alagoas,3,27.0,2002,nordeste
alagoas,3,15.0,2003,nordeste
alagoas,3,16.0,2004,nordeste
alagoas,3,35.0,2005,nordeste
alagoas,3,37.0,2006,nordeste
alagoas,3,7.0,2007,nordeste
alagoas,3,31.0,2008,nordeste
alagoas,3,31.0,2009,nordeste
alagoas,3,70.0,2010,nordeste
alagoas,3,34.0,2011,nordeste
alagoas,3,44.0,2012,nordeste
alagoas,3,31.0,2013,nordeste
alagoas,3,28.0,2014,nordeste
alagoas,3,32.0,2015,nordeste
alagoas,3,9.0,2016,nordeste
alagoas,3,23.0,2017,nordeste
alagoas,4,0.0,1998,nordeste
alagoas,4,4.0,1999,nordeste
alagoas,4,20.0,2000,nordeste
alagoas,4,0.0,2001,nordeste
alagoas,4,6.0,2002,nordeste
alagoas,4,20.0,2003,nordeste
alagoas,4,6.0,2004,nordeste
alagoas,4,1.0,2005,nordeste
alagoas,4,2.0,2006,nordeste
alagoas,4,1.0,2007,nordeste
alagoas,4,18.0,2008,nordeste
alagoas,4,5.0,2009,nordeste
alagoas,4,3.0,2010,nordeste
alagoas,4,17.0,2011,nordeste
alagoas,4,18.0,2012,nordeste
alagoas,4,25.0,2013,nordeste
alagoas,4,16.0,2014,nordeste
alagoas,4,63.0,2015,nordeste
alagoas,4,13.0,2016,nordeste
alagoas,4,7.0,2017,nordeste
alagoas,5,0.0,1998,nordeste
alagoas,5,1.0,1999,nordeste
alagoas,5,1.0,2000,nordeste
alagoas,5,2.0,2001,nordeste
alagoas,5,1.0,2002,nordeste
alagoas,5,1.0,2003,nordeste
alagoas,5,3.0,2004,nordeste
alagoas,5,0.0,2005,nordeste
alagoas,5,0.0,2006,nordeste
alagoas,5,0.0,2007,nordeste
alagoas,5,0.0,2008,nordeste
alagoas,5,0.0,2009,nordeste
alagoas,5,0.0,2010,nordeste
alagoas,5,0.0,2011,nordeste
alagoas,5,21.0,2012,nordeste
alagoas,5,2.0,2013,nordeste
alagoas,5,1.0,2014,nordeste
alagoas,5,18.0,2015,nordeste
alagoas,5,4.0,2016,nordeste
alagoas,5,1.0,2017,nordeste
alagoas,6,0.0,1998,nordeste
alagoas,6,0.0,1999,nordeste
alagoas,6,0.0,2000,nordeste
alagoas,6,2.0,2001,nordeste
alagoas,6,0.0,2002,nordeste
alagoas,6,0.0,2003,nordeste
alagoas,6,0.0,2004,nordeste
alagoas,6,0.0,2005,nordeste
alagoas,6,0.0,2006,nordeste
alagoas,6,0.0,2007,nordeste
alagoas,6,0.0,2008,nordeste
alagoas,6,0.0,2009,nordeste
alagoas,6,0.0,2010,nordeste
alagoas,6,2.0,2011,nordeste
alagoas,6,4.0,2012,nordeste
alagoas,6,1.0,2013,nordeste
alagoas,6,2.0,2014,nordeste
alagoas,6,2.0,2015,nordeste
alagoas,6,5.0,2016,nordeste
alagoas,6,2.0,2017,nordeste
alagoas,7,0.0,1998,nordeste
alagoas,7,0.0,1999,nordeste
alagoas,7,0.0,2000,nordeste
alagoas,7,0.0,2001,nordeste
alagoas,7,5.0,2002,nordeste
alagoas,7,0.0,2003,nordeste
alagoas,7,0.0,2004,nordeste
alagoas,7,0.0,2005,nordeste
alagoas,7,0.0,2006,nordeste
alagoas,7,0.0,2007,nordeste
alagoas,7,0.0,2008,nordeste
alagoas,7,0.0,2009,nordeste
alagoas,7,2.0,2010,nordeste
alagoas,7,0.0,2011,nordeste
alagoas,7,0.0,2012,nordeste
alagoas,7,0.0,2013,nordeste
alagoas,7,1.0,2014,nordeste
alagoas,7,0.0,2015,nordeste
alagoas,7,3.0,2016,nordeste
alagoas,7,0.0,2017,nordeste
alagoas,8,1.0,1998,nordeste
alagoas,8,3.0,1999,nordeste
alagoas,8,4.0,2000,nordeste
alagoas,8,1.0,2001,nordeste
alagoas,8,3.0,2002,nordeste
alagoas,8,2.0,2003,nordeste
alagoas,8,2.0,2004,nordeste
alagoas,8,2.0,2005,nordeste
alagoas,8,1.0,2006,nordeste
alagoas,8,3.0,2007,nordeste
alagoas,8,1.0,2008,nordeste
alagoas,8,0.0,2009,nordeste
alagoas,8,1.0,2010,nordeste
alagoas,8,4.0,2011,nordeste
alagoas,8,0.0,2012,nordeste
alagoas,8,0.0,2013,nordeste
alagoas,8,3.0,2014,nordeste
alagoas,8,3.0,2015,nordeste
alagoas,8,5.0,2016,nordeste
alagoas,8,1.0,2017,nordeste
alagoas,9,14.0,1998,nordeste
alagoas,9,3.0,1999,nordeste
alagoas,9,22.0,2000,nordeste
alagoas,9,5.0,2001,nordeste
alagoas,9,14.0,2002,nordeste
alagoas,9,8.0,2003,nordeste
alagoas,9,5.0,2004,nordeste
alagoas,9,7.0,2005,nordeste
alagoas,9,4.0,2006,nordeste
alagoas,9,2.0,2007,nordeste
alagoas,9,9.0,2008,nordeste
alagoas,9,13.0,2009,nordeste
alagoas,9,5.0,2010,nordeste
alagoas,9,5.0,2011,nordeste
alagoas,9,6.0,2012,nordeste
alagoas,9,4.0,2013,nordeste
alagoas,9,11.0,2014,nordeste
alagoas,9,7.0,2015,nordeste
alagoas,9,18.0,2016,nordeste
alagoas,9,4.0,2017,nordeste
alagoas,10,20.0,1998,nordeste
alagoas,10,4.0,1999,nordeste
alagoas,10,13.0,2000,nordeste
alagoas,10,15.0,2001,nordeste
alagoas,10,30.0,2002,nordeste
alagoas,10,10.0,2003,nordeste
alagoas,10,12.0,2004,nordeste
alagoas,10,17.0,2005,nordeste
alagoas,10,32.0,2006,nordeste
alagoas,10,6.0,2007,nordeste
alagoas,10,18.0,2008,nordeste
alagoas,10,30.0,2009,nordeste
alagoas,10,16.0,2010,nordeste
alagoas,10,23.0,2011,nordeste
alagoas,10,28.0,2012,nordeste
alagoas,10,25.0,2013,nordeste
alagoas,10,7.0,2014,nordeste
alagoas,10,40.0,2015,nordeste
alagoas,10,74.0,2016,nordeste
alagoas,10,14.0,2017,nordeste
alagoas,11,19.0,1998,nordeste
alagoas,11,15.0,1999,nordeste
alagoas,11,2.0,2000,nordeste
alagoas,11,22.0,2001,nordeste
alagoas,11,50.0,2002,nordeste
alagoas,11,17.0,2003,nordeste
alagoas,11,28.0,2004,nordeste
alagoas,11,25.0,2005,nordeste
alagoas,11,12.0,2006,nordeste
alagoas,11,15.0,2007,nordeste
alagoas,11,37.0,2008,nordeste
alagoas,11,55.0,2009,nordeste
alagoas,11,31.0,2010,nordeste
alagoas,11,23.0,2011,nordeste
alagoas,11,95.0,2012,nordeste
alagoas,11,10.0,2013,nordeste
alagoas,11,14.0,2014,nordeste
alagoas,11,162.0,2015,nordeste
alagoas,11,76.0,2016,nordeste
alagoas,11,10.0,2017,nordeste
alagoas,12,32.0,1998,nordeste
alagoas,12,12.0,1999,nordeste
alagoas,12,2.0,2000,nordeste
alagoas,12,30.0,2001,nordeste
alagoas,12,95.0,2002,nordeste
alagoas,12,43.0,2003,nordeste
alagoas,12,71.0,2004,nordeste
alagoas,12,16.0,2005,nordeste
alagoas,12,30.0,2006,nordeste
alagoas,12,33.0,2007,nordeste
alagoas,12,34.0,2008,nordeste
alagoas,12,55.0,2009,nordeste
alagoas,12,45.0,2010,nordeste
alagoas,12,50.0,2011,nordeste
alagoas,12,59.0,2012,nordeste
alagoas,12,42.0,2013,nordeste
alagoas,12,24.0,2014,nordeste
alagoas,12,136.0,2015,nordeste
alagoas,12,155.0,2016,nordeste
alagoas,12,0.0,2017,nordeste
amapa,1,0.0,1998,norte
amapa,1,0.0,1999,norte
amapa,1,2.0,2000,norte
amapa,1,0.0,2001,norte
amapa,1,7.0,2002,norte
amapa,1,31.0,2003,norte
amapa,1,38.0,2004,norte
amapa,1,109.0,2005,norte
amapa,1,6.0,2006,norte
amapa,1,0.0,2007,norte
amapa,1,2.0,2008,norte
amapa,1,4.0,2009,norte
amapa,1,2.0,2010,norte
amapa,1,0.0,2011,norte
amapa,1,30.0,2012,norte
amapa,1,3.0,2013,norte
amapa,1,10.0,2014,norte
amapa,1,14.0,2015,norte
amapa,1,19.0,2016,norte
amapa,1,2.0,2017,norte
amapa,2,0.0,1998,norte
amapa,2,1.0,1999,norte
amapa,2,0.0,2000,norte
amapa,2,0.0,2001,norte
amapa,2,2.0,2002,norte
amapa,2,0.0,2003,norte
amapa,2,2.0,2004,norte
amapa,2,1.0,2005,norte
amapa,2,2.0,2006,norte
amapa,2,0.0,2007,norte
amapa,2,0.0,2008,norte
amapa,2,0.0,2009,norte
amapa,2,0.0,2010,norte
amapa,2,3.0,2011,norte
amapa,2,5.0,2012,norte
amapa,2,0.0,2013,norte
amapa,2,2.0,2014,norte
amapa,2,1.0,2015,norte
amapa,2,1.0,2016,norte
amapa,2,0.0,2017,norte
amapa,3,0.0,1998,norte
amapa,3,2.0,1999,norte
amapa,3,0.0,2000,norte
amapa,3,0.0,2001,norte
amapa,3,0.0,2002,norte
amapa,3,1.0,2003,norte
amapa,3,0.0,2004,norte
amapa,3,0.0,2005,norte
amapa,3,0.0,2006,norte
amapa,3,0.0,2007,norte
amapa,3,1.0,2008,norte
amapa,3,1.0,2009,norte
amapa,3,2.0,2010,norte
amapa,3,0.0,2011,norte
amapa,3,1.0,2012,norte
amapa,3,0.0,2013,norte
amapa,3,1.0,2014,norte
amapa,3,2.0,2015,norte
amapa,3,5.0,2016,norte
amapa,3,0.0,2017,norte
amapa,4,0.0,1998,norte
amapa,4,0.0,1999,norte
amapa,4,0.0,2000,norte
amapa,4,0.0,2001,norte
amapa,4,0.0,2002,norte
amapa,4,2.0,2003,norte
amapa,4,0.0,2004,norte
amapa,4,0.0,2005,norte
amapa,4,0.0,2006,norte
amapa,4,0.0,2007,norte
amapa,4,2.0,2008,norte
amapa,4,0.0,2009,norte
amapa,4,2.0,2010,norte
amapa,4,0.0,2011,norte
amapa,4,2.0,2012,norte
amapa,4,2.0,2013,norte
amapa,4,0.0,2014,norte
amapa,4,0.0,2015,norte
amapa,4,0.0,2016,norte
amapa,4,3.0,2017,norte
amapa,5,0.0,1998,norte
amapa,5,0.0,1999,norte
amapa,5,0.0,2000,norte
amapa,5,0.0,2001,norte
amapa,5,3.0,2002,norte
amapa,5,0.0,2003,norte
amapa,5,0.0,2004,norte
amapa,5,0.0,2005,norte
amapa,5,0.0,2006,norte
amapa,5,0.0,2007,norte
amapa,5,0.0,2008,norte
amapa,5,2.0,2009,norte
amapa,5,2.0,2010,norte
amapa,5,2.0,2011,norte
amapa,5,2.0,2012,norte
amapa,5,0.0,2013,norte
amapa,5,0.0,2014,norte
amapa,5,0.0,2015,norte
amapa,5,1.0,2016,norte
amapa,5,1.0,2017,norte
amapa,6,0.0,1998,norte
amapa,6,2.0,1999,norte
amapa,6,0.0,2000,norte
amapa,6,0.0,2001,norte
amapa,6,0.0,2002,norte
amapa,6,0.0,2003,norte
amapa,6,5.0,2004,norte
amapa,6,2.0,2005,norte
amapa,6,0.0,2006,norte
amapa,6,0.0,2007,norte
amapa,6,0.0,2008,norte
amapa,6,1.0,2009,norte
amapa,6,0.0,2010,norte
amapa,6,0.0,2011,norte
amapa,6,7.0,2012,norte
amapa,6,1.0,2013,norte
amapa,6,0.0,2014,norte
amapa,6,3.0,2015,norte
amapa,6,2.0,2016,norte
amapa,6,2.0,2017,norte
amapa,7,0.0,1998,norte
amapa,7,0.0,1999,norte
amapa,7,0.0,2000,norte
amapa,7,1.0,2001,norte
amapa,7,1.0,2002,norte
amapa,7,0.0,2003,norte
amapa,7,2.0,2004,norte
amapa,7,0.0,2005,norte
amapa,7,0.0,2006,norte
amapa,7,0.0,2007,norte
amapa,7,0.0,2008,norte
amapa,7,4.0,2009,norte
amapa,7,2.0,2010,norte
amapa,7,5.0,2011,norte
amapa,7,3.0,2012,norte
amapa,7,1.0,2013,norte
amapa,7,4.0,2014,norte
amapa,7,5.0,2015,norte
amapa,7,1.0,2016,norte
amapa,7,3.0,2017,norte
amapa,8,1.0,1998,norte
amapa,8,0.0,1999,norte
amapa,8,3.0,2000,norte
amapa,8,12.0,2001,norte
amapa,8,18.0,2002,norte
amapa,8,14.0,2003,norte
amapa,8,9.0,2004,norte
amapa,8,4.0,2005,norte
amapa,8,11.0,2006,norte
amapa,8,5.0,2007,norte
amapa,8,4.0,2008,norte
amapa,8,20.0,2009,norte
amapa,8,1.0,2010,norte
amapa,8,16.0,2011,norte
amapa,8,19.0,2012,norte
amapa,8,9.0,2013,norte
amapa,8,18.0,2014,norte
amapa,8,40.0,2015,norte
amapa,8,37.0,2016,norte
amapa,8,33.0,2017,norte
amapa,9,20.0,1998,norte
amapa,9,4.0,1999,norte
amapa,9,19.0,2000,norte
amapa,9,95.0,2001,norte
amapa,9,73.0,2002,norte
amapa,9,88.0,2003,norte
amapa,9,67.0,2004,norte
amapa,9,97.0,2005,norte
amapa,9,112.0,2006,norte
amapa,9,61.0,2007,norte
amapa,9,83.0,2008,norte
amapa,9,188.0,2009,norte
amapa,9,63.0,2010,norte
amapa,9,128.0,2011,norte
amapa,9,168.0,2012,norte
amapa,9,85.0,2013,norte
amapa,9,137.0,2014,norte
