year,state,month,number,day
1998,Acre,1,0,1
1999,Acre,1,0,1
2000,Acre,1,0,1
2001,Acre,1,0,1
2002,Acre,1,0,1
2003,Acre,1,10,1
2004,Acre,1,0,1
2005,Acre,1,12,1
2006,Acre,1,4,1
2007,Acre,1,0,1
2008,Acre,1,0,1
2009,Acre,1,0,1
2010,Acre,1,1,1
2011,Acre,1,0,1
2012,Acre,1,0,1
2013,Acre,1,0,1
2014,Acre,1,0,1
2015,Acre,1,1,1
2016,Acre,1,12,1
2017,Acre,1,0,1
1998,Acre,2,0,1
1999,Acre,2,0,1
2000,Acre,2,0,1
2001,Acre,2,0,1
2002,Acre,2,1,1
2003,Acre,2,0,1
2004,Acre,2,3,1
2005,Acre,2,0,1
2006,Acre,2,0,1
2007,Acre,2,5,1
2008,Acre,2,0,1
2009,Acre,2,2,1
2010,Acre,2,0,1
2011,Acre,2,0,1
2012,Acre,2,0,1
2013,Acre,2,0,1
2014,Acre,2,0,1
2015,Acre,2,2,1
2016,Acre,2,5,1
2017,Acre,2,1,1
1998,Acre,3,0,1
1999,Acre,3,0,1
2000,Acre,3,11,1
2001,Acre,3,0,1
2002,Acre,3,0,1
2003,Acre,3,0,1
2004,Acre,3,0,1
2005,Acre,3,3,1
2006,Acre,3,0,1
2007,Acre,3,2,1
2008,Acre,3,0,1
2009,Acre,3,1,1
2010,Acre,3,0,1
2011,Acre,3,0,1
2012,Acre,3,1,1
2013,Acre,3,2,1
2014,Acre,3,1,1
2015,Acre,3,2,1
2016,Acre,3,0,1
2017,Acre,3,0,1
1998,Acre,4,0,1
1999,Acre,4,0,1
2000,Acre,4,1,1
2001,Acre,4,0,1
2002,Acre,4,0,1
2003,Acre,4,1,1
2004,Acre,4,2,1
2005,Acre,4,1,1
2006,Acre,4,0,1
2007,Acre,4,0,1
2008,Acre,4,0,1
2009,Acre,4,0,1
2010,Acre,4,3,1
2011,Acre,4,2,1
2012,Acre,4,1,1
2013,Acre,4,19,1
2014,Acre,4,7,1
2015,Acre,4,3,1
2016,Acre,4,0,1
2017,Acre,4,1,1
1998,Acre,5,0,1
1999,Acre,5,0,1
2000,Acre,5,1,1
2001,Acre,5,0,1
2002,Acre,5,0,1
2003,Acre,5,6,1
2004,Acre,5,7,1
2005,Acre,5,2,1
2006,Acre,5,8,1
2007,Acre,5,1,1
2008,Acre,5,0,1
2009,Acre,5,3,1
2010,Acre,5,9,1
2011,Acre,5,3,1
2012,Acre,5,3,1
2013,Acre,5,4,1
2014,Acre,5,1,1
2015,Acre,5,2,1
2016,Acre,5,21,1
2017,Acre,5,10,1
1998,Acre,6,3,1
1999,Acre,6,0,1
2000,Acre,6,1,1
2001,Acre,6,1,1
2002,Acre,6,0,1
2003,Acre,6,0,1
2004,Acre,6,5,1
2005,Acre,6,27,1
2006,Acre,6,1,1
2007,Acre,6,4,1
2008,Acre,6,0,1
2009,Acre,6,0,1
2010,Acre,6,1,1
2011,Acre,6,10,1
2012,Acre,6,7,1
2013,Acre,6,8,1
2014,Acre,6,17,1
2015,Acre,6,40,1
2016,Acre,6,87,1
2017,Acre,6,45,1
1998,Acre,7,37,1
1999,Acre,7,1,1
2000,Acre,7,1,1
2001,Acre,7,3,1
2002,Acre,7,39,1
2003,Acre,7,168,1
2004,Acre,7,42,1
2005,Acre,7,368,1
2006,Acre,7,33,1
2007,Acre,7,29,1
2008,Acre,7,41,1
2009,Acre,7,31,1
2010,Acre,7,126,1
2011,Acre,7,93,1
2012,Acre,7,71,1
2013,Acre,7,54,1
2014,Acre,7,60,1
2015,Acre,7,109,1
2016,Acre,7,533,1
2017,Acre,7,457,1
1998,Acre,8,130,1
1999,Acre,8,63,1
2000,Acre,8,136,1
2001,Acre,8,396,1
2002,Acre,8,728,1
2003,Acre,8,1976,1
2004,Acre,8,645,1
2005,Acre,8,4198,1
2006,Acre,8,839,1
2007,Acre,8,960,1
2008,Acre,8,445,1
2009,Acre,8,194,1
2010,Acre,8,1682,1
2011,Acre,8,425,1
2012,Acre,8,739,1
2013,Acre,8,679,1
2014,Acre,8,1100,1
2015,Acre,8,1396,1
2016,Acre,8,2188,1
2017,Acre,8,1493,1
1998,Acre,9,509,1
1999,Acre,9,209,1
2000,Acre,9,265,1
2001,Acre,9,290,1
2002,Acre,9,1949,1
2003,Acre,9,3941,1
2004,Acre,9,1978,1
2005,Acre,9,4253,1
2006,Acre,9,2370,1
2007,Acre,9,2080,1
2008,Acre,9,1666,1
2009,Acre,9,1265,1
2010,Acre,9,2531,1
2011,Acre,9,1204,1
2012,Acre,9,1996,1
2013,Acre,9,2136,1
2014,Acre,9,2175,1
2015,Acre,9,2928,1
2016,Acre,9,3586,1
2017,Acre,9,3429,1
1998,Acre,10,44,1
1999,Acre,10,60,1
2000,Acre,10,18,1
2001,Acre,10,137,1
2002,Acre,10,687,1
2003,Acre,10,740,1
2004,Acre,10,461,1
2005,Acre,10,547,1
2006,Acre,10,316,1
2007,Acre,10,203,1
2008,Acre,10,652,1
2009,Acre,10,565,1
2010,Acre,10,292,1
2011,Acre,10,97,1
2012,Acre,10,348,1
2013,Acre,10,258,1
2014,Acre,10,406,1
2015,Acre,10,905,1
2016,Acre,10,509,1
2017,Acre,10,1508,1
1998,Acre,11,0,1
1999,Acre,11,0,1
2000,Acre,11,0,1
2001,Acre,11,1,1
2002,Acre,11,86,1
2003,Acre,11,15,1
2004,Acre,11,10,1
2005,Acre,11,14,1
2006,Acre,11,18,1
2007,Acre,11,7,1
2008,Acre,11,4,1
2009,Acre,11,33,1
2010,Acre,11,39,1
2011,Acre,11,74,1
2012,Acre,11,13,1
2013,Acre,11,79,1
2014,Acre,11,56,1
2015,Acre,11,115,1
2016,Acre,11,46,1
2017,Acre,11,98,1
